geo_code,geo_label,geo_labelw,IMD_Rank,IMD_Decile,IUC_CODE,IUC_LABEL
E01033551,Newcastle upon Tyne 002G,,"32,446","10","3",e-Veterans
E01008416,Newcastle upon Tyne 025C,,"15,426","5","7",Passive and Uncommitted Users
E01008407,Newcastle upon Tyne 023B,,"13,961","5","4",Youthful Urban Fringe
E01008314,Newcastle upon Tyne 012A,,"21,758","7","3",e-Veterans
E01008432,Newcastle upon Tyne 026G,,"8,180","3","7",Passive and Uncommitted Users
E01008460,Newcastle upon Tyne 004F,,"4,743","2","10",e-Withdrawn
E01008457,Newcastle upon Tyne 004C,,"4,382","2","10",e-Withdrawn
E01008379,Newcastle upon Tyne 008F,,"8,826","3","7",Passive and Uncommitted Users
E01008418,Newcastle upon Tyne 005C,,"31,920","10","3",e-Veterans
E01008296,Newcastle upon Tyne 011A,,"6,526","2","7",Passive and Uncommitted Users
E01008315,Newcastle upon Tyne 012B,,"22,944","7","6",e-Mainstream
E01008330,Newcastle upon Tyne 015G,,"4,970","2","10",e-Withdrawn
E01008335,Newcastle upon Tyne 029E,,"5,824","2","7",Passive and Uncommitted Users
E01008290,Newcastle upon Tyne 027C,,"1,115","1","10",e-Withdrawn
E01008291,Newcastle upon Tyne 027D,,"110","1","10",e-Withdrawn
E01008367,Newcastle upon Tyne 017A,,"27,274","9","1",e-Cultural Creators
E01008301,Newcastle upon Tyne 026A,,"4,728","2","4",Youthful Urban Fringe
E01008307,Newcastle upon Tyne 001C,,"6,429","2","7",Passive and Uncommitted Users
E01008362,Newcastle upon Tyne 018E,,"15,282","5","1",e-Cultural Creators
E01008388,Newcastle upon Tyne 028A,,"870","1","10",e-Withdrawn
E01008305,Newcastle upon Tyne 026D,,"403","1","10",e-Withdrawn
E01008456,Newcastle upon Tyne 004B,,"3,932","2","10",e-Withdrawn
E01008399,Newcastle upon Tyne 024D,,"1,221","1","10",e-Withdrawn
E01008300,Newcastle upon Tyne 016A,,"3,791","2","7",Passive and Uncommitted Users
E01008325,Newcastle upon Tyne 015B,,"2,686","1","10",e-Withdrawn
E01008302,Newcastle upon Tyne 026B,,"1,240","1","10",e-Withdrawn
E01008419,Newcastle upon Tyne 006E,,"31,321","10","2",e-Professionals
E01008400,Newcastle upon Tyne 014A,,"2,919","1","10",e-Withdrawn
E01008361,Newcastle upon Tyne 018D,,"11,878","4","2",e-Professionals
E01008410,Newcastle upon Tyne 023D,,"15,071","5","1",e-Cultural Creators
E01008413,Newcastle upon Tyne 023F,,"11,150","4","1",e-Cultural Creators
E01008433,Newcastle upon Tyne 020C,,"18,559","6","9",Settled Offline Communities
E01008346,Newcastle upon Tyne 019D,,"13,575","5","1",e-Cultural Creators
E01008378,Newcastle upon Tyne 006D,,"29,570","10","3",e-Veterans
E01008348,Newcastle upon Tyne 019F,,"3,047","1","7",Passive and Uncommitted Users
E01008368,Newcastle upon Tyne 017B,,"27,279","9","1",e-Cultural Creators
E01008448,Newcastle upon Tyne 031G,,"28,957","9","5",e-Rational Utilitarians
E01008438,Newcastle upon Tyne 029G,,"307","1","10",e-Withdrawn
E01008343,Newcastle upon Tyne 019A,,"15,680","5","7",Passive and Uncommitted Users
E01008423,Newcastle upon Tyne 006G,,"31,351","10","3",e-Veterans
E01008430,Newcastle upon Tyne 020A,,"6,269","2","7",Passive and Uncommitted Users
E01008370,Newcastle upon Tyne 017C,,"25,799","8","2",e-Professionals
E01008442,Newcastle upon Tyne 031B,,"29,548","9","9",Settled Offline Communities
E01008319,Newcastle upon Tyne 007B,,"31,051","10","3",e-Veterans
E01008342,Newcastle upon Tyne 003G,,"21,941","7","8",Digital Seniors
