GISJOIN,STATE,TRACTA,INCOME,ERROR
G7200050400501,Puerto Rico,400501,22346,1831
G3000890940300,Montana,940300,26276,1831
G2701450011000,Minnesota,11000,56129,1833
G1702010001000,Illinois,1000,13759,1838
G0500510011800,Arkansas,11800,41127,1840
G7200170590200,Puerto Rico,590200,7897,1842
G1700950000900,Illinois,900,24487,1842
G7200570270700,Puerto Rico,270700,14260,1843
G2101750950100,Kentucky,950100,31612,1844
G3901550921100,Ohio,921100,23022,1848
G0600290004402,California,4402,24485,1848
G2601230970100,Michigan,970100,41121,1848
G3600470002300,New York,2300,19510,1849
G7201270008300,Puerto Rico,8300,20957,1851
G2700870940100,Minnesota,940100,40909,1854
G7201130071900,Puerto Rico,71900,8378,1856
G2900910090400,Missouri,90400,36054,1858
G0600290006004,California,6004,39032,1858
G1301210007808,Georgia,7808,12266,1861
G1700310301200,Illinois,301200,26076,1861
G4400070015200,Rhode Island,15200,13099,1863
G0400210941300,Arizona,941300,11859,1866
G0400170940014,Arizona,940014,19900,1869
G3700010021000,North Carolina,21000,21762,1869
G7200190952202,Puerto Rico,952202,16447,1870
G0600750012501,California,12501,21412,1870
G2800350010700,Mississippi,10700,16573,1871
G4200690110800,Pennsylvania,110800,30542,1875
G0600190004703,California,4703,33624,1876
G7201130072704,Puerto Rico,72704,8707,1878
G2000610000600,Kansas,600,41712,1878
G7200210031201,Puerto Rico,31201,10704,1879
G2002090040400,Kansas,40400,31548,1881
G3901530501900,Ohio,501900,12546,1885
G0600650042741,California,42741,27060,1887
G4200030523800,Pennsylvania,523800,52035,1888
G7201350510400,Puerto Rico,510400,19080,1889
G0600590089004,California,89004,41853,1890
G3600750020100,New York,20100,53462,1890
G4801130009304,Texas,9304,19276,1892
G4201090070600,Pennsylvania,70600,52225,1892
G4800270020701,Texas,20701,14764,1897
G7200670820400,Puerto Rico,820400,13671,1898
G4801410010501,Texas,10501,36037,1899
G1200310001000,Florida,1000,13834,1901
G2600210000400,Michigan,400,15333,1901
G7201290220300,Puerto Rico,220300,10875,1904
G7201450560300,Puerto Rico,560300,17866,1905
G3100550001100,Nebraska,1100,21040,1905
G4804690000302,Texas,302,33084,1905
