GISJOIN,STATE,TRACTA,TOTAL,BLACK_AA_Count,BLACK_AA_Percentage
G2201030040706,Louisiana,40706,5755,269,4.67
G2201130950200,Louisiana,950200,4666,221,4.74
G2201030040305,Louisiana,40305,13663,651,4.76
G2201030040303,Louisiana,40303,9255,442,4.78
G2200710010800,Louisiana,10800,1402,68,4.85
G2200550001404,Louisiana,1404,9196,452,4.92
G2201090001500,Louisiana,1500,7330,365,4.98
G2201130950100,Louisiana,950100,10273,513,4.99
G2200170024000,Louisiana,24000,12131,606,5
G2200870030203,Louisiana,30203,3472,176,5.07
G2200710004600,Louisiana,4600,2799,146,5.22
G2200550001403,Louisiana,1403,5189,272,5.24
G2201030040400,Louisiana,40400,9187,488,5.31
G2200510022302,Louisiana,22302,1842,98,5.32
G2201130950600,Louisiana,950600,3356,181,5.39
G2200190002201,Louisiana,2201,8876,480,5.41
G2200190003000,Louisiana,3000,4786,260,5.43
G2200010961100,Louisiana,961100,3740,206,5.51
G2200050030102,Louisiana,30102,4961,286,5.76
G2200630040500,Louisiana,40500,12628,727,5.76
G2200170024504,Louisiana,24504,6725,388,5.77
G2200510023200,Louisiana,23200,2762,160,5.79
G2200610960700,Louisiana,960700,6164,367,5.95
G2200890062900,Louisiana,62900,2404,143,5.95
G2200410950400,Louisiana,950400,2711,163,6.01
G2200630040401,Louisiana,40401,7739,468,6.05
G2201090001000,Louisiana,1000,5823,356,6.11
G2200090030800,Louisiana,30800,2579,158,6.13
G2201230000200,Louisiana,200,3842,236,6.14
G2200510021400,Louisiana,21400,2226,137,6.15
G2200570020704,Louisiana,20704,5829,361,6.19
G2200510026600,Louisiana,26600,1972,123,6.24
G2201030040708,Louisiana,40708,5592,351,6.28
G2200550001500,Louisiana,1500,5344,344,6.44
G2200850000700,Louisiana,700,3029,195,6.44
G2201030040605,Louisiana,40605,7012,452,6.45
G2200790010300,Louisiana,10300,5843,378,6.47
G2200710005604,Louisiana,5604,1586,103,6.49
G2201030041300,Louisiana,41300,6795,444,6.53
G2200710011500,Louisiana,11500,1243,82,6.6
G2200790013700,Louisiana,13700,4768,320,6.71
G2201090001700,Louisiana,1700,11048,747,6.76
G2201170950500,Louisiana,950500,6343,436,6.87
G2200450030302,Louisiana,30302,6366,439,6.9
G2200190002204,Louisiana,2204,5592,387,6.92
G2200510023904,Louisiana,23904,2911,202,6.94
G2200710000100,Louisiana,100,2811,198,7.04
G2200250000300,Louisiana,300,2923,208,7.12
G2200730010504,Louisiana,10504,8251,589,7.14
G2200330004016,Louisiana,4016,8533,612,7.17
G2200190002700,Louisiana,2700,7590,552,7.27
G2200510020506,Louisiana,20506,4796,350,7.3
G2200630040902,Louisiana,40902,5579,410,7.35
G2201170950600,Louisiana,950600,4796,356,7.42
G2200330002300,Louisiana,2300,2556,190,7.43
G2201030040201,Louisiana,40201,9546,713,7.47
G2201150950900,Louisiana,950900,7593,571,7.52
G2200190001801,Louisiana,1801,10455,799,7.64
G2200190001000,Louisiana,1000,3598,277,7.7
G2200570021000,Louisiana,21000,3188,248,7.78
G2200170022600,Louisiana,22600,3042,237,7.79
G2200430020200,Louisiana,20200,2856,224,7.84
G2200070050600,Louisiana,50600,4168,327,7.85
G2201030041207,Louisiana,41207,4190,332,7.92
G2201130950400,Louisiana,950400,5311,422,7.95
G2200050030203,Louisiana,30203,11485,915,7.97
G2200530000200,Louisiana,200,4949,395,7.98
G2200730005302,Louisiana,5302,5469,443,8.1
G2200570021902,Louisiana,21902,4632,376,8.12
G2200170021600,Louisiana,21600,3626,298,8.22
G2200510025300,Louisiana,25300,1992,164,8.23
G2200890063100,Louisiana,63100,8178,676,8.27
G2200710011900,Louisiana,11900,1784,149,8.35
G2201030040802,Louisiana,40802,7138,602,8.43
G2200550001410,Louisiana,1410,16466,1415,8.59
G2200170021500,Louisiana,21500,2188,189,8.64
G2201130951002,Louisiana,951002,3385,294,8.69
G2200190003102,Louisiana,3102,2248,198,8.81
G2200510024100,Louisiana,24100,3542,312,8.81
G2200190003300,Louisiana,3300,5284,466,8.82
G2200190001903,Louisiana,1903,6685,591,8.84
G2200510024300,Louisiana,24300,2872,256,8.91
G2200110960600,Louisiana,960600,3636,327,8.99
G2200730000200,Louisiana,200,5617,508,9.04
G2200850000600,Louisiana,600,3455,313,9.06
G2201190031600,Louisiana,31600,2959,268,9.06
G2200770952200,Louisiana,952200,3367,306,9.09
G2201050953700,Louisiana,953700,11247,1024,9.1
G2200710012200,Louisiana,12200,2327,212,9.11
G2200150011103,Louisiana,11103,7065,644,9.12
G2200510020201,Louisiana,20201,2753,251,9.12
G2200970960500,Louisiana,960500,5919,545,9.21
G2200330004508,Louisiana,4508,8837,819,9.27
G2200510026400,Louisiana,26400,1731,162,9.36
G2200790010700,Louisiana,10700,4249,400,9.41
G2200550001401,Louisiana,1401,9520,899,9.44
G2200510020517,Louisiana,20517,3578,339,9.47
G2200630040804,Louisiana,40804,17714,1680,9.48
G2200510021700,Louisiana,21700,5836,555,9.51
G2200710007700,Louisiana,7700,2306,221,9.58
G2201050954600,Louisiana,954600,13152,1263,9.6
G2200330004010,Louisiana,4010,4955,478,9.65
G2200130970400,Louisiana,970400,2668,258,9.67
G2200510020203,Louisiana,20203,8127,792,9.75
G2200530000500,Louisiana,500,5146,502,9.76
G2200530000400,Louisiana,400,5916,578,9.77
G2200150011002,Louisiana,11002,4768,467,9.79
G2200190001904,Louisiana,1904,5976,592,9.91
G2200510021600,Louisiana,21600,6131,613,10
G2201030040709,Louisiana,40709,4180,426,10.19
G2201030040604,Louisiana,40604,9734,1007,10.35
G2200150011105,Louisiana,11105,6638,692,10.42
G2200150011108,Louisiana,11108,15077,1573,10.43
G2200510022900,Louisiana,22900,2800,294,10.5
G2200850000400,Louisiana,400,4539,478,10.53
G2200730005100,Louisiana,5100,2037,218,10.7
G2200790013400,Louisiana,13400,3447,369,10.7
G2200450031300,Louisiana,31300,6269,672,10.72
G2200870030700,Louisiana,30700,1688,181,10.72
G2200630040402,Louisiana,40402,8029,862,10.74
G2200990020100,Louisiana,20100,5352,578,10.8
G2200630040901,Louisiana,40901,6747,741,10.98
G2200390950100,Louisiana,950100,6511,720,11.06
G2201010040600,Louisiana,40600,5227,584,11.17
G2201130950901,Louisiana,950901,3381,383,11.33
G2200510021300,Louisiana,21300,3173,364,11.47
G2200510020511,Louisiana,20511,3828,441,11.52
G2200570021601,Louisiana,21601,7609,879,11.55
G2200550001905,Louisiana,1905,6261,729,11.64
G2200550001411,Louisiana,1411,2221,259,11.66
G2200510020302,Louisiana,20302,5912,691,11.69
G2200510020512,Louisiana,20512,2420,284,11.74
G2200590970100,Louisiana,970100,4550,534,11.74
G2200730005203,Louisiana,5203,2935,345,11.75
G2200990020302,Louisiana,20302,7884,935,11.86
G2201010040200,Louisiana,40200,5031,599,11.91
G2200190002400,Louisiana,2400,5832,695,11.92
G2200190002203,Louisiana,2203,6899,825,11.96
G2200750050300,Louisiana,50300,5208,623,11.96
G2200550001700,Louisiana,1700,7625,913,11.97
G2200870030208,Louisiana,30208,3325,398,11.97
G2200330003804,Louisiana,3804,4844,581,11.99
G2201030041003,Louisiana,41003,5814,697,11.99
G2201030041101,Louisiana,41101,3800,459,12.08
G2200870030105,Louisiana,30105,305,37,12.13
G2200870030206,Louisiana,30206,2420,297,12.27
G2200870030400,Louisiana,30400,1517,188,12.39
G2200710010700,Louisiana,10700,1965,245,12.47
G2201010040500,Louisiana,40500,4851,607,12.51
G2200550001901,Louisiana,1901,6764,850,12.57
G2200190002000,Louisiana,2000,9546,1202,12.59
G2200870030207,Louisiana,30207,4002,505,12.62
G2200150011001,Louisiana,11001,8522,1079,12.66
G2201190031100,Louisiana,31100,1894,240,12.67
G2200170025405,Louisiana,25405,4544,577,12.7
G2200510023600,Louisiana,23600,4845,616,12.71
G2200730010202,Louisiana,10202,7182,918,12.78
G2200190001300,Louisiana,1300,6395,818,12.79
G2200450030700,Louisiana,30700,3945,505,12.8
G2200690000100,Louisiana,100,2043,263,12.87
G2200330002000,Louisiana,2000,3747,486,12.97
G2200510026500,Louisiana,26500,2132,277,12.99
G2200050030204,Louisiana,30204,12096,1597,13.2
G2200510022303,Louisiana,22303,3297,436,13.22
G2200150011110,Louisiana,11110,8828,1171,13.26
G2200970961800,Louisiana,961800,7103,948,13.35
G2200510026300,Louisiana,26300,2556,345,13.5
G2201090000202,Louisiana,202,7192,974,13.54
G2200710007606,Louisiana,7606,4090,554,13.55
G2200550001902,Louisiana,1902,6880,937,13.62
G2200170025406,Louisiana,25406,4527,617,13.63
G2200050030206,Louisiana,30206,10642,1454,13.66
G2200510026000,Louisiana,26000,1785,244,13.67
G2200570020202,Louisiana,20202,3717,511,13.75
G2200610960500,Louisiana,960500,4470,616,13.78
G2200790013500,Louisiana,13500,6048,835,13.81
G2200050030101,Louisiana,30101,7996,1109,13.87
G2200610960100,Louisiana,960100,4028,562,13.95
G2200710001200,Louisiana,1200,1824,255,13.98
G2200330003805,Louisiana,3805,7275,1020,14.02
G2200550002104,Louisiana,2104,5565,780,14.02
G2200790013200,Louisiana,13200,8482,1192,14.05
G2200710004100,Louisiana,4100,1670,235,14.07
G2200710012600,Louisiana,12600,1685,237,14.07
G2200830970400,Louisiana,970400,3534,498,14.09
G2201030041002,Louisiana,41002,2846,401,14.09
G2200790012302,Louisiana,12302,4408,624,14.16
G2200850000100,Louisiana,100,3111,442,14.21
G2200710012102,Louisiana,12102,4162,592,14.22
G2200150011106,Louisiana,11106,9027,1287,14.26
G2201090001201,Louisiana,1201,2738,392,14.32
G2201050954800,Louisiana,954800,5039,722,14.33
G2201030040710,Louisiana,40710,6242,904,14.48
G2200510020507,Louisiana,20507,4358,633,14.53
G2200890062301,Louisiana,62301,6039,880,14.57
G2200170025100,Louisiana,25100,1798,263,14.63
G2201050953200,Louisiana,953200,2781,408,14.67
G2200690000800,Louisiana,800,4237,624,14.73
G2200190002600,Louisiana,2600,4745,700,14.75
G2200330004401,Louisiana,4401,4667,691,14.81
G2200730005900,Louisiana,5900,2922,434,14.85
G2200710002600,Louisiana,2600,1662,247,14.86
G2200510020502,Louisiana,20502,6439,962,14.94
G2200510021200,Louisiana,21200,2598,390,15.01
G2200710008300,Louisiana,8300,1119,168,15.01
G2201230000100,Louisiana,100,4667,702,15.04
G2200730010301,Louisiana,10301,3391,512,15.1
G2200550001409,Louisiana,1409,10005,1513,15.12
G2200030950400,Louisiana,950400,4115,623,15.14
G2200570020100,Louisiana,20100,2682,406,15.14
G2200830970300,Louisiana,970300,3150,477,15.14
G2200510020508,Louisiana,20508,8141,1235,15.17
G2201090000300,Louisiana,300,5831,885,15.18
G2200710007800,Louisiana,7800,1173,179,15.26
G2200310950700,Louisiana,950700,2266,347,15.31
G2200330005000,Louisiana,5000,3358,518,15.43
G2200550001802,Louisiana,1802,4002,618,15.44
G2200730010101,Louisiana,10101,4666,721,15.45
G2200170024900,Louisiana,24900,3682,574,15.59
G2200450030600,Louisiana,30600,6526,1022,15.66
G2200690000500,Louisiana,500,3998,639,15.98
G2201130950902,Louisiana,950902,8720,1396,16.01
G2200150010804,Louisiana,10804,7862,1260,16.03
G2200870030209,Louisiana,30209,3542,573,16.18
G2200970961000,Louisiana,961000,2232,363,16.26
G2200550002200,Louisiana,2200,6461,1056,16.34
G2200510022102,Louisiana,22102,2177,358,16.44
G2200650960100,Louisiana,960100,1687,279,16.54
G2200190000500,Louisiana,500,3283,546,16.63
G2200510020515,Louisiana,20515,3217,535,16.63
G2200510024201,Louisiana,24201,2056,342,16.63
G2201170950102,Louisiana,950102,4118,685,16.63
G2200530000100,Louisiana,100,5367,894,16.66
G2200830970600,Louisiana,970600,3883,647,16.66
G2200690000300,Louisiana,300,4573,763,16.68
G2200110960500,Louisiana,960500,5237,876,16.73
G2200390950700,Louisiana,950700,3413,572,16.76
G2200530000300,Louisiana,300,5094,854,16.76
G2201050953500,Louisiana,953500,7362,1234,16.76
G2200710009900,Louisiana,9900,2870,483,16.83
G2200970960800,Louisiana,960800,3814,642,16.83
G2200410950100,Louisiana,950100,3977,670,16.85
G2200150010900,Louisiana,10900,5038,857,17.01
G2200370951501,Louisiana,951501,1275,217,17.02
G2200550000604,Louisiana,604,6942,1185,17.07
G2200150010806,Louisiana,10806,4134,709,17.15
G2200330002801,Louisiana,2801,2607,447,17.15
G2200630040600,Louisiana,40600,8705,1494,17.16
G2200170023903,Louisiana,23903,4182,719,17.19
G2200170023000,Louisiana,23000,4730,815,17.23
G2200790012400,Louisiana,12400,4511,779,17.27
G2201030041104,Louisiana,41104,3210,555,17.29
G2200710008200,Louisiana,8200,1494,259,17.34
G2201150950703,Louisiana,950703,2432,422,17.35
G2200490970200,Louisiana,970200,3384,589,17.41
G2200930040300,Louisiana,40300,3710,647,17.44
G2200490970500,Louisiana,970500,1697,297,17.5
G2201090000600,Louisiana,600,5400,948,17.56
G2200330004402,Louisiana,4402,6810,1198,17.59
G2200390950300,Louisiana,950300,4951,873,17.63
G2201090000402,Louisiana,402,4139,731,17.66
G2200090030300,Louisiana,30300,3589,634,17.67
G2200550001405,Louisiana,1405,9113,1610,17.67
G2200330004301,Louisiana,4301,6466,1146,17.72
G2200050030205,Louisiana,30205,11126,1974,17.74
G2200670950200,Louisiana,950200,5331,950,17.82
G2200330003802,Louisiana,3802,4861,867,17.84
G2200750050800,Louisiana,50800,1062,190,17.89
G2200450030301,Louisiana,30301,3931,704,17.91
G2200330004006,Louisiana,4006,8980,1613,17.96
G2200790011300,Louisiana,11300,2431,439,18.06
G2200310950100,Louisiana,950100,10352,1887,18.23
G2200330004403,Louisiana,4403,5970,1089,18.24
G2201150950600,Louisiana,950600,3791,694,18.31
G2200010960800,Louisiana,960800,5147,945,18.36
G2201030040705,Louisiana,40705,7366,1354,18.38
G2201090000201,Louisiana,201,4268,789,18.49
G2200670950300,Louisiana,950300,2247,418,18.6
G2200730005800,Louisiana,5800,2471,463,18.74
G2200870030602,Louisiana,30602,2918,550,18.85
G2200770952400,Louisiana,952400,4453,842,18.91
G2200510024700,Louisiana,24700,1583,301,19.01
G2200550001904,Louisiana,1904,4337,827,19.07
G2200170024203,Louisiana,24203,4614,883,19.14
G2200430020402,Louisiana,20402,8144,1565,19.22
G2200890060100,Louisiana,60100,2164,416,19.22
G2200170024202,Louisiana,24202,6728,1302,19.35
G2201090001400,Louisiana,1400,3188,619,19.42
G2200150011109,Louisiana,11109,7800,1516,19.44
G2200190003500,Louisiana,3500,3487,678,19.44
G2200330004014,Louisiana,4014,11275,2196,19.48
G2200510028000,Louisiana,28000,5350,1042,19.48
G2201010040800,Louisiana,40800,5194,1012,19.48
G2200210000300,Louisiana,300,4583,894,19.51
G2200710008800,Louisiana,8800,1870,366,19.57
G2200330002802,Louisiana,2802,3976,782,19.67
G2200870030500,Louisiana,30500,1647,325,19.73
G2200510021900,Louisiana,21900,1748,347,19.85
G2201090001300,Louisiana,1300,8403,1678,19.97
G2201030040704,Louisiana,40704,5633,1128,20.02
G2200490970300,Louisiana,970300,4573,920,20.12
G2200510024900,Louisiana,24900,1464,295,20.15
G2200730005400,Louisiana,5400,1926,389,20.2
G2200570020703,Louisiana,20703,5577,1127,20.21
G2200590970200,Louisiana,970200,6086,1232,20.24
G2200890062302,Louisiana,62302,4700,953,20.28
G2200510025600,Louisiana,25600,1725,351,20.35
G2201150950704,Louisiana,950704,4186,852,20.35
G2200290000300,Louisiana,300,3766,769,20.42
G2200870030300,Louisiana,30300,1452,299,20.59
G2200770952100,Louisiana,952100,4871,1014,20.82
G2200510025102,Louisiana,25102,4120,861,20.9
G2201030041202,Louisiana,41202,2237,468,20.92
G2200330003906,Louisiana,3906,9384,1967,20.96
G2201190031500,Louisiana,31500,5461,1148,21.02
G2200550001406,Louisiana,1406,5380,1133,21.06
G2201030040801,Louisiana,40801,4612,975,21.14
G2200810960100,Louisiana,960100,4620,977,21.15
G2200710012500,Louisiana,12500,1777,376,21.16
G2200790012301,Louisiana,12301,5984,1268,21.19
G2200710012800,Louisiana,12800,2176,464,21.32
G2201010040400,Louisiana,40400,3584,765,21.34
G2201090000401,Louisiana,401,5013,1071,21.36
G2200030950200,Louisiana,950200,5424,1168,21.53
G2200710010100,Louisiana,10100,1662,360,21.66
G2200450030500,Louisiana,30500,4641,1006,21.68
G2200970961700,Louisiana,961700,6119,1329,21.72
G2201050953800,Louisiana,953800,5019,1092,21.76
G2201170950700,Louisiana,950700,4512,986,21.85
G2200510024400,Louisiana,24400,3035,671,22.11
G2200010960100,Louisiana,960100,6187,1371,22.16
G2200390950400,Louisiana,950400,6126,1358,22.17
G2200710005400,Louisiana,5400,1749,391,22.36
G2201090000800,Louisiana,800,5511,1237,22.45
G2200990020301,Louisiana,20301,4748,1067,22.47
G2200330001700,Louisiana,1700,5524,1243,22.5
G2201030040502,Louisiana,40502,4259,960,22.54
G2200730000100,Louisiana,100,4790,1089,22.73
G2200170023904,Louisiana,23904,3008,688,22.87
G2200710009700,Louisiana,9700,1316,301,22.87
G2200550001801,Louisiana,1801,3204,734,22.91
G2201050954102,Louisiana,954102,12061,2768,22.95
G2201170950400,Louisiana,950400,3648,842,23.08
G2200570022000,Louisiana,22000,2302,532,23.11
G2200090030500,Louisiana,30500,6994,1628,23.28
G2200550001903,Louisiana,1903,6350,1479,23.29
G2200170024109,Louisiana,24109,4078,951,23.32
G2200310950200,Louisiana,950200,3751,875,23.33
G2201030040701,Louisiana,40701,8898,2077,23.34
G2200510027809,Louisiana,27809,6768,1584,23.4
G2200330004510,Louisiana,4510,8406,1972,23.46
G2200450030200,Louisiana,30200,6812,1603,23.53
G2200870030103,Louisiana,30103,4881,1152,23.6
G2200570020600,Louisiana,20600,2392,565,23.62
G2200330002602,Louisiana,2602,3728,885,23.74
G2200010961000,Louisiana,961000,4988,1188,23.82
G2200790011600,Louisiana,11600,2776,664,23.92
G2200710011200,Louisiana,11200,1534,369,24.05
G2200510024202,Louisiana,24202,3296,801,24.3
G2200210000200,Louisiana,200,2904,706,24.31
G2200570020702,Louisiana,20702,3508,853,24.32
G2200710014200,Louisiana,14200,1718,418,24.33
G2201210020300,Louisiana,20300,5972,1468,24.58
G2201030041204,Louisiana,41204,8291,2040,24.6
G2200550002102,Louisiana,2102,4749,1171,24.66
G2201210020402,Louisiana,20402,6741,1666,24.71
G2200750050600,Louisiana,50600,1054,261,24.76
G2201050954501,Louisiana,954501,6107,1521,24.91
G2201030041102,Louisiana,41102,7912,1979,25.01
G2201050954200,Louisiana,954200,5021,1257,25.03
G2201150950701,Louisiana,950701,1552,391,25.19
G2201110960100,Louisiana,960100,4303,1085,25.21
G2201090000101,Louisiana,101,5926,1496,25.24
G2200990020400,Louisiana,20400,6225,1587,25.49
G2200510027807,Louisiana,27807,9066,2315,25.53
G2201050954700,Louisiana,954700,5182,1323,25.53
G2200330003701,Louisiana,3701,6129,1566,25.55
G2200170023901,Louisiana,23901,6618,1694,25.6
G2201150950702,Louisiana,950702,3613,925,25.6
G2200970961100,Louisiana,961100,3339,856,25.64
G2200510027200,Louisiana,27200,4678,1201,25.67
G2200510027806,Louisiana,27806,6086,1564,25.7
G2200450031200,Louisiana,31200,3145,809,25.72
G2201190031400,Louisiana,31400,3464,892,25.75
G2200610960400,Louisiana,960400,5716,1474,25.79
G2200050030300,Louisiana,30300,14620,3797,25.97
G2200510025003,Louisiana,25003,4085,1061,25.97
G2200190001700,Louisiana,1700,9583,2491,25.99
G2200170023100,Louisiana,23100,1629,424,26.03
G2200170024102,Louisiana,24102,3992,1042,26.1
G2201170950200,Louisiana,950200,5990,1569,26.19
G2201050954002,Louisiana,954002,5960,1562,26.21
G2200870030800,Louisiana,30800,4642,1218,26.24
G2200710013302,Louisiana,13302,2143,564,26.32
G2200190001100,Louisiana,1100,5045,1331,26.38
G2200710000612,Louisiana,612,1791,478,26.69
G2200190002100,Louisiana,2100,3238,868,26.81
G2200170021400,Louisiana,21400,2267,609,26.86
G2200510021804,Louisiana,21804,2005,543,27.08
G2200030950500,Louisiana,950500,8296,2252,27.15
G2200150010805,Louisiana,10805,3323,904,27.2
G2200770952300,Louisiana,952300,1478,402,27.2
G2200330004013,Louisiana,4013,4064,1110,27.31
G2200330004507,Louisiana,4507,5371,1469,27.35
G2200510020202,Louisiana,20202,3342,914,27.35
G2200870030601,Louisiana,30601,1785,490,27.45
G2200670950100,Louisiana,950100,1537,422,27.46
G2201050954502,Louisiana,954502,7618,2092,27.46
G2200170022900,Louisiana,22900,4893,1348,27.55
G2200510020516,Louisiana,20516,4750,1310,27.58
G2201190032000,Louisiana,32000,3254,899,27.63
G2201010040900,Louisiana,40900,3204,886,27.65
G2200690000200,Louisiana,200,3572,990,27.72
G2200050030600,Louisiana,30600,6561,1831,27.91
G2200510027100,Louisiana,27100,3274,916,27.98
G2200510028200,Louisiana,28200,4265,1194,28
G2200290000500,Louisiana,500,4484,1260,28.1
G2200130970500,Louisiana,970500,2819,798,28.31
G2200150010500,Louisiana,10500,4440,1259,28.36
G2200510021500,Louisiana,21500,2893,821,28.38
G2200330003908,Louisiana,3908,3620,1028,28.4
G2200550002001,Louisiana,2001,5224,1492,28.56
G2200510025002,Louisiana,25002,2997,857,28.6
G2200670950600,Louisiana,950600,2757,790,28.65
G2200010960600,Louisiana,960600,5960,1718,28.83
G2200290000400,Louisiana,400,4400,1275,28.98
G2200330003801,Louisiana,3801,7402,2164,29.24
G2200970960200,Louisiana,960200,4018,1176,29.27
G2201190032100,Louisiana,32100,6984,2044,29.27
G2200170024800,Louisiana,24800,980,287,29.29
G2201110960300,Louisiana,960300,2965,872,29.41
G2200330003703,Louisiana,3703,6388,1894,29.65
G2200510021000,Louisiana,21000,2720,808,29.71
G2201030041103,Louisiana,41103,3000,892,29.73
G2200710014400,Louisiana,14400,1619,486,30.02
G2200670950700,Louisiana,950700,2773,835,30.11
G2200790011500,Louisiana,11500,7381,2233,30.25
G2200950070400,Louisiana,70400,3771,1148,30.44
G2200710012900,Louisiana,12900,1452,443,30.51
G2200510026700,Louisiana,26700,1866,570,30.55
G2200190000100,Louisiana,100,2094,640,30.56
G2200330001800,Louisiana,1800,2383,731,30.68
G2200450030400,Louisiana,30400,7666,2353,30.69
G2200730010302,Louisiana,10302,4774,1468,30.75
G2200070050400,Louisiana,50400,3437,1058,30.78
G2201230000300,Louisiana,300,2765,851,30.78
G2200330004011,Louisiana,4011,6941,2137,30.79
G2201050953900,Louisiana,953900,8730,2700,30.93
G2200950070100,Louisiana,70100,2489,770,30.94
G2200830970200,Louisiana,970200,2152,668,31.04
G2200710010900,Louisiana,10900,2888,900,31.16
G2200330004009,Louisiana,4009,8767,2738,31.23
G2200390950800,Louisiana,950800,4070,1273,31.28
G2200150010801,Louisiana,10801,2936,921,31.37
G2200170023905,Louisiana,23905,4795,1519,31.68
G2200550002002,Louisiana,2002,6708,2127,31.71
G2200790013300,Louisiana,13300,4575,1454,31.78
G2200050030401,Louisiana,30401,4749,1513,31.86
G2200970960100,Louisiana,960100,2709,865,31.93
G2200970960300,Louisiana,960300,3946,1262,31.98
G2200950071000,Louisiana,71000,2587,828,32.01
G2200990020200,Louisiana,20200,7533,2413,32.03
G2200150010701,Louisiana,10701,3818,1226,32.11
G2200330004509,Louisiana,4509,7187,2314,32.2
G2200330004700,Louisiana,4700,6553,2110,32.2
G2200550000602,Louisiana,602,4738,1526,32.21
G2200710006400,Louisiana,6400,2439,787,32.27
G2200170021200,Louisiana,21200,3424,1106,32.3
G2200330004504,Louisiana,4504,5995,1937,32.31
G2200710006500,Louisiana,6500,2782,899,32.31
G2201150950500,Louisiana,950500,6141,1989,32.39
G2200710013400,Louisiana,13400,2970,966,32.53
G2200170024304,Louisiana,24304,4820,1574,32.66
G2201010041500,Louisiana,41500,1650,539,32.67
G2200850000300,Louisiana,300,2469,807,32.69
G2201270960200,Louisiana,960200,6561,2154,32.83
G2200710012700,Louisiana,12700,2238,736,32.89
G2200990020502,Louisiana,20502,4159,1371,32.96
G2200710013900,Louisiana,13900,1739,574,33.01
G2200170024108,Louisiana,24108,6865,2269,33.05
G2200250000100,Louisiana,100,4838,1600,33.07
G2200030950300,Louisiana,950300,2848,942,33.08
G2200730010604,Louisiana,10604,2027,671,33.1
G2200550000603,Louisiana,603,2572,852,33.13
G2200570021800,Louisiana,21800,4834,1608,33.26
G2201190031800,Louisiana,31800,2607,867,33.26
G2200510022001,Louisiana,22001,5088,1693,33.27
G2200510021803,Louisiana,21803,4905,1648,33.6
G2200710009600,Louisiana,9600,1440,484,33.61
G2200330003907,Louisiana,3907,6059,2042,33.7
G2201010040300,Louisiana,40300,3025,1020,33.72
G2201010040100,Louisiana,40100,2850,963,33.79
G2200410950200,Louisiana,950200,4473,1540,34.43
G2201010041000,Louisiana,41000,3448,1194,34.63
G2200150011200,Louisiana,11200,5427,1886,34.75
G2200510025202,Louisiana,25202,6565,2294,34.94
G2201250951800,Louisiana,951800,7857,2745,34.94
G2201090000500,Louisiana,500,6120,2151,35.15
G2200370951600,Louisiana,951600,4536,1595,35.16
G2201010041300,Louisiana,41300,2033,715,35.17
G2200470953000,Louisiana,953000,2270,799,35.2
G2200750050400,Louisiana,50400,3236,1141,35.26
G2200510020513,Louisiana,20513,5085,1794,35.28
G2201190031300,Louisiana,31300,4993,1762,35.29
G2200470952700,Louisiana,952700,6157,2182,35.44
G2200710010600,Louisiana,10600,1470,521,35.44
G2200530000600,Louisiana,600,2992,1077,36
G2200710001100,Louisiana,1100,1876,676,36.03
G2200470952900,Louisiana,952900,5741,2082,36.27
G2200550002103,Louisiana,2103,4599,1670,36.31
G2201070000200,Louisiana,200,978,356,36.4
G2200510025103,Louisiana,25103,3821,1392,36.43
G2200610960200,Louisiana,960200,4212,1535,36.44
G2201110960200,Louisiana,960200,3784,1380,36.47
G2200290000100,Louisiana,100,2145,784,36.55
G2200690000900,Louisiana,900,4951,1820,36.76
G2200090030400,Louisiana,30400,6946,2554,36.77
G2201130950700,Louisiana,950700,3563,1310,36.77
G2200490970100,Louisiana,970100,2819,1039,36.86
G2200930040700,Louisiana,40700,3554,1316,37.03
G2201090000900,Louisiana,900,4855,1800,37.08
G2200150010602,Louisiana,10602,3457,1287,37.23
G2200330003702,Louisiana,3702,3917,1460,37.27
G2200890062100,Louisiana,62100,5757,2146,37.28
G2200330001600,Louisiana,1600,3314,1242,37.48
G2200510023800,Louisiana,23800,3938,1488,37.79
G2200170025000,Louisiana,25000,3643,1379,37.85
G2200170024700,Louisiana,24700,1892,725,38.32
G2200270950100,Louisiana,950100,3445,1324,38.43
G2200510027601,Louisiana,27601,5335,2054,38.5
G2200950070300,Louisiana,70300,5596,2160,38.6
G2200410950600,Louisiana,950600,2267,877,38.69
G2200570020500,Louisiana,20500,6213,2407,38.74
G2200110960400,Louisiana,960400,3454,1340,38.8
G2200570020900,Louisiana,20900,2096,814,38.84
G2200950070700,Louisiana,70700,4813,1876,38.98
G2200170024503,Louisiana,24503,5438,2123,39.04
G2200550002101,Louisiana,2101,6144,2402,39.1
G2201170950101,Louisiana,950101,3639,1426,39.19
G2200610960600,Louisiana,960600,4860,1909,39.28
G2200270950500,Louisiana,950500,2760,1088,39.42
G2200710012300,Louisiana,12300,2048,810,39.55
G2200730001700,Louisiana,1700,3398,1345,39.58
G2201090000102,Louisiana,102,4277,1694,39.61
G2200510025400,Louisiana,25400,3968,1579,39.79
G2200990020800,Louisiana,20800,3042,1213,39.88
G2200710009100,Louisiana,9100,1758,702,39.93
G2200550001001,Louisiana,1001,4974,2000,40.21
G2200710001750,Louisiana,1750,3770,1517,40.24
G2200790013800,Louisiana,13800,4275,1728,40.42
G2200090030700,Louisiana,30700,7908,3198,40.44
G2201030040501,Louisiana,40501,4716,1907,40.44
