GISJOIN,STATE,TRACTA,TOTAL,BLACK_AA_Count,BLACK_AA_Percentage
G0101170030900,Alabama,30900,2462,20,0.81
G0100710950500,Alabama,950500,3497,30,0.86
G0100890001903,Alabama,1903,2308,20,0.87
G0100030011405,Alabama,11405,4386,39,0.89
G0100490960200,Alabama,960200,3070,28,0.91
G0100090050500,Alabama,50500,7526,70,0.93
G0100490960300,Alabama,960300,7686,72,0.94
G0100570020000,Alabama,20000,1509,15,0.99
G0100730010804,Alabama,10804,3014,30,1
G0100190955702,Alabama,955702,3632,37,1.02
G0100730014001,Alabama,14001,3734,38,1.02
G0100770011700,Alabama,11700,4178,43,1.03
G0100090050601,Alabama,50601,4146,46,1.11
G0100950030201,Alabama,30201,5203,58,1.11
G0100450020200,Alabama,20200,2186,26,1.19
G0101170030330,Alabama,30330,5738,69,1.2
G0101250012000,Alabama,12000,2913,35,1.2
G0100730011704,Alabama,11704,3482,43,1.23
G0100550010501,Alabama,10501,8376,105,1.25
G0100390962900,Alabama,962900,1907,24,1.26
G0101150040201,Alabama,40201,5456,70,1.28
G0100770011502,Alabama,11502,5486,71,1.29
G0100730014412,Alabama,14412,4430,58,1.31
G0100770011603,Alabama,11603,4132,54,1.31
G0100210060600,Alabama,60600,3531,47,1.33
G0100970007201,Alabama,7201,2688,36,1.34
G0100030010701,Alabama,10701,8068,111,1.38
G0100030011601,Alabama,11601,7131,102,1.43
G0100430965000,Alabama,965000,6018,88,1.46
G0100310010700,Alabama,10700,2299,34,1.48
G0101330965600,Alabama,965600,5163,78,1.51
G0100150002502,Alabama,2502,4618,71,1.54
G0100030010904,Alabama,10904,6342,98,1.55
G0100090050602,Alabama,50602,9317,144,1.55
G0100190955800,Alabama,955800,5614,87,1.55
G0100890011300,Alabama,11300,6413,100,1.56
G0100830020300,Alabama,20300,3694,60,1.62
G0101150040501,Alabama,40501,11461,186,1.62
G0100730012905,Alabama,12905,4351,71,1.63
G0100430965402,Alabama,965402,4111,68,1.65
G0100430964900,Alabama,964900,6526,109,1.67
G0100730012803,Alabama,12803,4725,79,1.67
G0101030005302,Alabama,5302,3794,64,1.69
G0100890002912,Alabama,2912,2317,40,1.73
G0100030010905,Alabama,10905,8009,139,1.74
G0100730010705,Alabama,10705,4230,75,1.77
G0100550011002,Alabama,11002,4720,84,1.78
G0100970006600,Alabama,6600,5757,104,1.81
G0101250010102,Alabama,10102,2991,55,1.84
G0101170030342,Alabama,30342,2371,44,1.86
G0101250011401,Alabama,11401,2521,47,1.86
G0100950030801,Alabama,30801,5614,105,1.87
G0101030005702,Alabama,5702,6032,113,1.87
G0100550010502,Alabama,10502,5237,99,1.89
G0100770011604,Alabama,11604,7074,134,1.89
G0100610050600,Alabama,50600,3983,76,1.91
G0101170030305,Alabama,30305,4203,83,1.97
G0101270021300,Alabama,21300,3863,79,2.05
G0100950030802,Alabama,30802,7919,173,2.18
G0100310010100,Alabama,10100,2242,49,2.19
G0100730011109,Alabama,11109,4117,90,2.19
G0100890002922,Alabama,2922,3866,86,2.22
G0101230962502,Alabama,962502,2820,63,2.23
G0100570020400,Alabama,20400,3856,87,2.26
G0100390962400,Alabama,962400,2875,66,2.3
G0100710950700,Alabama,950700,4659,109,2.34
G0100290959700,Alabama,959700,3701,89,2.4
G0100030011102,Alabama,11102,4296,108,2.51
G0100890001801,Alabama,1801,4210,108,2.57
G0100970007202,Alabama,7202,2641,68,2.57
G0100930964700,Alabama,964700,5416,140,2.58
G0100150002400,Alabama,2400,4652,123,2.64
G0100710950900,Alabama,950900,5599,152,2.71
G0101250010601,Alabama,10601,4870,136,2.79
G0100730011705,Alabama,11705,7518,211,2.81
G0100970007000,Alabama,7000,4533,129,2.85
